Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,6,30.133999999999975,19,139,11,3,25,4,30.804999999999975,7.014999999999994,1.1589999999999994,1.2809999999999993,20,15,3,6,142,26,3,6,6,0.5,41,5.75,6,L,0.21693661971830983,0.26980769230769225,0.38633333333333325,0.2135
1,1,2,0,9,13.724999999999989,19,67,71,38,13,67,14.456999999999988,7.685999999999994,0.427,0.122,20,15,3,2,71,33,3,2,4,0,19,4.75,6,L,0.20361971830985914,0.2329090909090909,0.14233333333333334,0.061
1,2,3,0,3,21.837999999999983,15,101,31,35,28,14,25.00999999999998,1.0979999999999994,1.8299999999999987,2.1959999999999984,20,5,6,4,116,7,8,7,5,0.5,36,5.25,6,L,0.21560344827586206,0.15685714285714286,0.22875,0.3137142857142857
1,2,4,0,6,11.223999999999991,15,58,6,105,3,7,12.99299999999999,9.271999999999993,0.6709999999999998,0.8539999999999996,20,15,5,3,70,35,6,3,6,0.5,38,5,6,L,0.1856142857142857,0.26491428571428566,0.11183333333333333,0.2846666666666667
1,3,5,0,10,10.857999999999992,12,64,89,85,54,53,12.13899999999999,0.122,8.051999999999994,1.2199999999999993,20,1,9,4,74,1,31,5,3,0,14,3.5,6,L,0.16404054054054054,0.122,0.2597419354838709,0.244
1,3,6,0,1,16.34799999999999,19,72,83,48,16,73,18.726999999999986,5.306999999999996,13.846999999999989,4.6969999999999965,20,15,17,13,81,27,64,23,3,0,17,4.25,6,L,0.2311975308641975,0.19655555555555554,0.21635937499999996,0.20421739130434782
1,4,7,0,7,24.82699999999998,13,133,14,15,23,120,24.88799999999998,5.245999999999996,0.366,10.125999999999992,14,8,3,11,134,18,3,40,6,0.5,38,5,6,L,0.18573134328358207,0.2914444444444444,0.122,0.25315
1,4,8,0,6,48.61699999999996,20,214,11,6,4,93,49.95899999999996,3.2329999999999974,5.550999999999996,1.463999999999999,20,7,9,4,218,8,15,4,6,0.5,39,5.25,6,L,0.22916972477064218,0.4041249999999999,0.37006666666666654,0.3659999999999999
1,5,9,0,5,19.885999999999985,15,83,37,41,39,45,22.447999999999983,2.0129999999999986,1.646999999999999,1.524999999999999,20,9,6,6,95,13,7,6,5,1,60,5,6,L,0.23629473684210525,0.15484615384615386,0.2352857142857143,0.25416666666666665
1,5,10,0,3,6.953999999999994,15,36,25,26,35,32,13.602999999999989,0.6709999999999998,1.646999999999999,2.744999999999998,20,3,7,11,70,4,7,12,5,1,60,5,6,L,0.19432857142857143,0.16775,0.2352857142857143,0.22874999999999998
